trajectory_id,step,update_rule,world,paradigm,z1,z2
tr_0000_prediction_driven_regular,5,prediction_driven,regular,graph_system,-9.944184069969147,-0.7936950485473108
tr_0000_prediction_driven_regular,6,prediction_driven,regular,graph_system,-8.14572506803853,-0.7553112009332476
tr_0000_prediction_driven_regular,7,prediction_driven,regular,graph_system,-9.925754716321931,-0.871627109173306
tr_0000_prediction_driven_regular,8,prediction_driven,regular,graph_system,-8.342586622002713,-0.8952075377757126
tr_0000_prediction_driven_regular,9,prediction_driven,regular,graph_system,-7.724788259241861,-0.9173374793839776
tr_0000_prediction_driven_regular,10,prediction_driven,regular,graph_system,-8.212925452865035,-0.9052721138716202
tr_0000_prediction_driven_regular,11,prediction_driven,regular,graph_system,-7.673045506297794,-0.8498004481083575
tr_0000_prediction_driven_noisy,0,prediction_driven,noisy,graph_system,-14.392486060533985,-0.4118789572603768
tr_0000_prediction_driven_noisy,1,prediction_driven,noisy,graph_system,-14.161660922267835,-0.4768885429330047
tr_0000_prediction_driven_noisy,2,prediction_driven,noisy,graph_system,-13.897024111278027,-0.5739804908428427
tr_0000_prediction_driven_noisy,3,prediction_driven,noisy,graph_system,-13.442130656599542,-0.6079213386391435
tr_0000_prediction_driven_noisy,4,prediction_driven,noisy,graph_system,-13.079523274026618,-0.6238668783072576
tr_0000_prediction_driven_noisy,5,prediction_driven,noisy,graph_system,-12.800795490716501,-0.6540135453973853
tr_0000_prediction_driven_noisy,6,prediction_driven,noisy,graph_system,-12.592259859214176,-0.7118406101821214
tr_0000_prediction_driven_noisy,7,prediction_driven,noisy,graph_system,-12.132740625966068,-0.7387457244426615
tr_0000_prediction_driven_noisy,8,prediction_driven,noisy,graph_system,-10.643754049357025,-0.7238998497810442
tr_0000_prediction_driven_noisy,9,prediction_driven,noisy,graph_system,-8.164526896183158,-0.5500185533143082
tr_0000_prediction_driven_noisy,10,prediction_driven,noisy,graph_system,-11.031921292384803,-0.8383201040826158
tr_0000_prediction_driven_noisy,11,prediction_driven,noisy,graph_system,-10.659131110230074,-0.815931409165671
tr_0000_prediction_driven_compositional,0,prediction_driven,compositional,graph_system,-14.458014699498412,-0.41452352931970904
tr_0000_prediction_driven_compositional,1,prediction_driven,compositional,graph_system,-13.993085488469388,-0.47720170336312684
tr_0000_prediction_driven_compositional,2,prediction_driven,compositional,graph_system,-12.259811107703005,-0.4960277813283211
tr_0000_prediction_driven_compositional,3,prediction_driven,compositional,graph_system,-10.427866823432936,-0.47259701405376675
tr_0000_prediction_driven_compositional,4,prediction_driven,compositional,graph_system,-12.60965871873984,-0.7351207699761386
tr_0000_prediction_driven_compositional,5,prediction_driven,compositional,graph_system,-8.688739859375225,-0.49881618450352055
tr_0000_prediction_driven_compositional,6,prediction_driven,compositional,graph_system,-9.066630933430163,-0.6348629610327661
tr_0000_prediction_driven_compositional,7,prediction_driven,compositional,graph_system,-9.674016612990437,-0.7859006437538121
tr_0000_prediction_driven_compositional,8,prediction_driven,compositional,graph_system,-9.543208835468178,-0.876000111151326
tr_0000_prediction_driven_compositional,9,prediction_driven,compositional,graph_system,-9.004943566619621,-0.8850152002476942
tr_0000_prediction_driven_compositional,10,prediction_driven,compositional,graph_system,-7.349707202542262,-0.8479434180699937
tr_0000_prediction_driven_compositional,11,prediction_driven,compositional,graph_system,-9.115461157015863,-0.9581277920470209
tr_0000_prediction_driven_volatile,0,prediction_driven,volatile,graph_system,-12.989737802122074,-0.3271930118796046
tr_0000_prediction_driven_volatile,1,prediction_driven,volatile,graph_system,-12.7490208678485,-0.4256974269135263
tr_0000_prediction_driven_volatile,2,prediction_driven,volatile,graph_system,-13.563891414008356,-0.6643919350221196
tr_0000_prediction_driven_volatile,3,prediction_driven,volatile,graph_system,-13.112372081899347,-0.8282321834626075
tr_0000_prediction_driven_volatile,4,prediction_driven,volatile,graph_system,-11.481058613090138,-0.8360758949191394
tr_0000_prediction_driven_volatile,5,prediction_driven,volatile,graph_system,-9.428745504788205,-0.7621893238642002
tr_0000_prediction_driven_volatile,6,prediction_driven,volatile,graph_system,-11.69964442751885,-1.023381414127158
tr_0000_prediction_driven_volatile,7,prediction_driven,volatile,graph_system,-11.162422190433325,-1.0129317853988915
tr_0000_prediction_driven_volatile,8,prediction_driven,volatile,graph_system,-8.31011764108821,-0.9741490090929075
tr_0000_prediction_driven_volatile,9,prediction_driven,volatile,graph_system,-9.006264152588537,-1.07344920041644
tr_0000_prediction_driven_volatile,10,prediction_driven,volatile,graph_system,-8.686395072561197,-1.074338217916913
tr_0000_prediction_driven_volatile,11,prediction_driven,volatile,graph_system,-9.40388348696069,-1.1136714476146377
tr_0000_constraint_driven_regular,0,constraint_driven,regular,graph_system,-13.0816286437114,-0.33447873984461607
tr_0000_constraint_driven_regular,1,constraint_driven,regular,graph_system,-12.99343921383539,-0.4108189767186548
tr_0000_constraint_driven_regular,2,constraint_driven,regular,graph_system,-11.85710927110732,-0.43442122973483266
tr_0000_constraint_driven_regular,3,constraint_driven,regular,graph_system,-12.29172565356714,-0.5380331007190252
tr_0000_constraint_driven_regular,4,constraint_driven,regular,graph_system,-11.381331687501966,-0.5763944321090483
tr_0000_constraint_driven_regular,5,constraint_driven,regular,graph_system,-10.602245287841642,-0.609723751234929
tr_0000_constraint_driven_regular,6,constraint_driven,regular,graph_system,-9.904150317330458,-0.6567449203778504
tr_0000_constraint_driven_regular,7,constraint_driven,regular,graph_system,-8.055946995380161,-0.691394751881213
tr_0000_constraint_driven_regular,8,constraint_driven,regular,graph_system,-7.469595846144095,-0.7028662380224093
tr_0000_constraint_driven_regular,9,constraint_driven,regular,graph_system,-7.801133674751779,-0.7090332566555153
tr_0000_constraint_driven_regular,10,constraint_driven,regular,graph_system,-6.3650625153319424,-0.7344905712839368
tr_0000_constraint_driven_regular,11,constraint_driven,regular,graph_system,-6.510381696511905,-0.6841649919193535
tr_0000_constraint_driven_noisy,0,constraint_driven,noisy,graph_system,-14.498963172111536,-0.41612022624224354
tr_0000_constraint_driven_noisy,1,constraint_driven,noisy,graph_system,-13.968957584991117,-0.3846392589799266
tr_0000_constraint_driven_noisy,2,constraint_driven,noisy,graph_system,-13.420205940673055,-0.3807891780904561
tr_0000_constraint_driven_noisy,3,constraint_driven,noisy,graph_system,-12.975538688340619,-0.4150336480370237
tr_0000_constraint_driven_noisy,4,constraint_driven,noisy,graph_system,-12.629098557989128,-0.4495188113926488
tr_0000_constraint_driven_noisy,5,constraint_driven,noisy,graph_system,-8.893561461762566,-0.2791617137538315
tr_0000_constraint_driven_noisy,6,constraint_driven,noisy,graph_system,-11.58694735168113,-0.45703737818474144
tr_0000_constraint_driven_noisy,7,constraint_driven,noisy,graph_system,-9.99007370434111,-0.5350058966215316
tr_0000_constraint_driven_noisy,8,constraint_driven,noisy,graph_system,-9.416768174573175,-0.5855534418150976
tr_0000_constraint_driven_noisy,9,constraint_driven,noisy,graph_system,-9.085388443370844,-0.6127391028247393
tr_0000_constraint_driven_noisy,10,constraint_driven,noisy,graph_system,-8.857978576785994,-0.6609205854681296
tr_0000_constraint_driven_noisy,11,constraint_driven,noisy,graph_system,-9.389757744121868,-0.6678944496309343
tr_0000_constraint_driven_compositional,0,constraint_driven,compositional,graph_system,-14.49427529094472,-0.4159396024562311
tr_0000_constraint_driven_compositional,1,constraint_driven,compositional,graph_system,-12.3116814025547,-0.3451013850661173
tr_0000_constraint_driven_compositional,2,constraint_driven,compositional,graph_system,-11.895167522736305,-0.38855083462264367
tr_0000_constraint_driven_compositional,3,constraint_driven,compositional,graph_system,-10.100253997556196,-0.39805147833088567
tr_0000_constraint_driven_compositional,4,constraint_driven,compositional,graph_system,-9.439007467113369,-0.4246806681682631
tr_0000_constraint_driven_compositional,5,constraint_driven,compositional,graph_system,-10.020177350161788,-0.518341480991246
tr_0000_constraint_driven_compositional,6,constraint_driven,compositional,graph_system,-9.792647652728446,-0.580304872906356
tr_0000_constraint_driven_compositional,7,constraint_driven,compositional,graph_system,-10.12271720674494,-0.5835311892561034
tr_0000_constraint_driven_compositional,8,constraint_driven,compositional,graph_system,-9.665961145636134,-0.6204507100844231
tr_0000_constraint_driven_compositional,9,constraint_driven,compositional,graph_system,-7.734106807429711,-0.6688588429432173
tr_0000_constraint_driven_compositional,10,constraint_driven,compositional,graph_system,-8.381132014682601,-0.6071829939513527
tr_0000_constraint_driven_compositional,11,constraint_driven,compositional,graph_system,-6.899784878403656,-0.7166618187619436
tr_0000_constraint_driven_volatile,0,constraint_driven,volatile,graph_system,-14.40245885610988,-0.4122885621620954
tr_0000_constraint_driven_volatile,1,constraint_driven,volatile,graph_system,-12.351979875877936,-0.4171889913460561
tr_0000_constraint_driven_volatile,2,constraint_driven,volatile,graph_system,-13.282370379997404,-0.5257862765957344
tr_0000_constraint_driven_volatile,3,constraint_driven,volatile,graph_system,-12.64454438546071,-0.6101409745486329
tr_0000_constraint_driven_volatile,4,constraint_driven,volatile,graph_system,-12.216880522072898,-0.7111403896782911
tr_0000_constraint_driven_volatile,5,constraint_driven,volatile,graph_system,-11.531359710540288,-0.7413432084616632
tr_0000_constraint_driven_volatile,6,constraint_driven,volatile,graph_system,-11.063133785917529,-0.8179755967352242
