objective,world,ablation,seed,abstraction_count,alive_count,graph_depth,dag_width,mean_lifetime,mean_exposure_lifetime,mean_reuse,valid_reuse,raw_transfer_reuse,valid_transfer_reuse,transfer_correctness,graph_compression_ratio,semantic_subsumption_ratio,branching_factor,hierarchy_emergence_time,births,deaths,regime,compositionality,noise,regularity,partial_observability,volatility
lifetime_reuse,continuous,standard,0,21,10,1,10,2.9523809523809526,0.09523809523809523,0.6190476190476191,2,11,5,0.45454545454545453,3.0,0.0,0.0,0,21,11,flat_memory,0.0,0.5,0.5,0.5,0.5
lifetime_reuse,continuous,standard,0,26,10,1,10,3.576923076923077,0.19230769230769232,0.8076923076923077,5,15,9,0.6,3.0,0.0,0.0,0,26,16,flat_memory,0.0,0.5,0.5,0.5,1.0
lifetime_reuse,continuous,standard,0,28,16,3,12,3.2857142857142856,0.8571428571428571,1.2857142857142858,24,23,9,0.391304347826087,1.875,1.0,0.42857142857142855,10,28,12,abstraction_dag,0.0,0.5,0.5,1.0,0.0
lifetime_reuse,continuous,standard,0,28,14,2,13,4.285714285714286,0.32142857142857145,0.8214285714285714,9,13,6,0.46153846153846156,2.142857142857143,1.0,0.07142857142857142,26,28,14,mixed,0.0,0.5,0.5,1.0,0.5
lifetime_reuse,continuous,standard,0,28,13,2,12,4.178571428571429,0.25,0.7857142857142857,7,11,5,0.45454545454545453,2.3076923076923075,1.0,0.07142857142857142,26,28,15,mixed,0.0,0.5,0.5,1.0,1.0
lifetime_reuse,continuous,standard,0,27,9,1,9,5.592592592592593,0.07407407407407407,0.7407407407407407,2,4,4,1.0,3.3333333333333335,0.0,0.0,0,27,18,flat_memory,0.0,0.5,1.0,0.5,0.0
lifetime_reuse,continuous,standard,0,28,11,2,11,3.607142857142857,0.10714285714285714,0.7142857142857143,3,10,5,0.5,2.727272727272727,1.0,0.07142857142857142,16,28,17,mixed,0.0,0.5,1.0,0.5,0.5
lifetime_reuse,continuous,standard,0,28,12,1,12,3.107142857142857,0.14285714285714285,0.7142857142857143,4,17,9,0.5294117647058824,2.5,0.0,0.0,0,28,16,flat_memory,0.0,0.5,1.0,0.5,1.0
lifetime_reuse,continuous,standard,0,28,14,2,10,3.642857142857143,0.7142857142857143,1.2142857142857142,20,19,7,0.3684210526315789,2.142857142857143,1.0,0.2857142857142857,9,28,14,mixed,0.0,0.5,1.0,1.0,0.0
lifetime_reuse,continuous,standard,0,29,15,2,14,4.172413793103448,0.41379310344827586,0.896551724137931,12,20,9,0.45,2.0,1.0,0.06896551724137931,26,29,14,mixed,0.0,0.5,1.0,1.0,0.5
