trajectory_id,step,update_rule,world,x,y,z,dx,dy,dz,speed
tr_0000_merge_driven_regular,0,merge_driven,regular,-5.963655305292622,-0.5202750586113507,-0.27757554767934584,1.6636952441965498,-1.9697470836934499,2.9827676965570817,3.9426753062997095
tr_0000_merge_driven_regular,1,merge_driven,regular,-4.299960061096073,-2.4900221423048006,2.7051921488777357,-2.4422201059267383,-1.7434795794329787,-3.151402083297177,4.3514934425209
tr_0000_merge_driven_regular,2,merge_driven,regular,-6.742180167022811,-4.233501721737779,-0.44620993441944157,-0.4578858833233541,5.3783215414130305,0.28359674287087555,5.405222400377363
tr_0000_merge_driven_regular,3,merge_driven,regular,-7.200066050346165,1.144819819675251,-0.16261319154856602,0.6473254925517811,0.0466751294593899,0.8320928226582006,1.0552664718149387
tr_0000_merge_driven_regular,4,merge_driven,regular,-6.552740557794384,1.191494949134641,0.6694796311096346,0.4615665754125562,-3.001675993266109,-0.23525341181111975,3.0460542739512912
tr_0000_merge_driven_regular,5,merge_driven,regular,-6.091173982381828,-1.8101810441314679,0.43422621929851485,0.3829785143289497,3.358658755950091,-0.23160925289752274,3.388348274216447
tr_0000_merge_driven_regular,6,merge_driven,regular,-5.708195468052878,1.548477711818623,0.2026169664009921,1.4284800570677287,0.686205644375186,2.017139639626209,2.5652067724774037
tr_0000_merge_driven_regular,7,merge_driven,regular,-4.279715410985149,2.234683356193809,2.219756606027201,-1.077885195179519,-0.6168934546437104,0.3091241462349137,1.279824896677239
tr_0000_merge_driven_regular,8,merge_driven,regular,-5.357600606164668,1.6177899015500987,2.528880752262115,-0.3243684022917579,-3.9447463120988666,-1.9806020756220442,4.425948814568608
tr_0000_merge_driven_regular,9,merge_driven,regular,-5.681969008456426,-2.326956410548768,0.5482786766400707,0.3743786235188393,0.14773443422814658,0.12214564427189445,0.42060001809221026
tr_0000_merge_driven_regular,10,merge_driven,regular,-5.307590384937587,-2.1792219763206213,0.6704243209119651,0.5024238407438419,-0.1689599380638982,-0.19411964991890818,0.5644994374691521
tr_0000_merge_driven_noisy,0,merge_driven,noisy,-6.6566014626690775,-0.8776806465925682,-0.8362591875559069,-0.7042983100014961,-3.860428744846842,0.36138639321418287,3.9407545379928304
tr_0000_merge_driven_noisy,1,merge_driven,noisy,-7.360899772670574,-4.73810939143941,-0.474872794341724,1.9742345479524461,2.2914266568696093,-0.8511366036849736,3.1420807902207137
