trajectory_id,step,update_rule,world,paradigm,x,y,z,memory_capacity,stochasticity,environmental_regularity,compositionality,interaction_locality,constraint_density,graph_connectivity,prediction_horizon,abstraction_budget,communication_bandwidth,feedback_strength,hierarchy_depth,computational_budget,perturbation_sensitivity,propagation,fixed_point_strength,abstraction_growth,hierarchy_emergence,transfer,uncertainty_handling,reconstruction,convergence,stability,compositionality,substitution_response,order_abstraction_depth,order_transfer_efficiency,order_behavioral_entropy,order_compression_ratio,order_fixed_point_density,order_stability,order_uncertainty_persistence,order_reuse,order_hierarchy_growth,order_canonical_role_count_proxy,order_response_susceptibility,order_coordination,e_star_score,representation_complexity,translation_complexity
tr_0000_merge_driven_regular,0,merge_driven,regular,graph_system,-5.963655305292622,-0.5202750586113507,-0.27757554767934584,0.052405952690584956,0.042291591166902745,0.06724255442833138,0.16855509634721952,0.05051725131543748,0.04219071395431291,0.04577469640174961,0.07369293981505337,0.03018663445391518,0.04723516428924986,0.03624037832136237,0.04247832823005346,0.07493700552653149,0.0,0.31719575462701755,0.48168352013343174,0.05509893182960712,0.014300811271992897,0.01546527023737963,0.1073455084677648,0.21091109758059146,0.9140716736841515,0.5557287315429416,0.16855509634721952,0.04534609447157956,1.0572032450879716,0.01546527023737963,0.7636593764171434,0.047499079163454416,0.48168352013343174,0.5557287315429416,0.077909061891483,0.18732345784433557,0.014300811271992897,7.1092750113371475,0.0,0.9140716736841515,0.03822002032916738,3.1102543196911014,2.934113826939098
tr_0000_merge_driven_regular,1,merge_driven,regular,graph_system,-4.299960061096073,-2.4900221423048006,2.7051921488777357,0.05035754027079978,0.033584924596799716,0.08627795686066105,0.36684433142500206,0.03488374152845209,0.03823594340890009,0.044981648715899804,0.07258966129801041,0.06869924551678035,0.04798644169339419,0.03259719367829914,0.06956447077799739,0.07251751050527246,0.0,0.13273526572841085,0.6154218222334427,0.40606903011599005,0.18297576204536042,0.021322642734942186,0.08312412568981709,0.1780958071232402,0.9475062492091543,0.6703615619143795,0.36684433142500206,0.022705152105095938,1.7319030481814417,0.021322642734942186,0.8083812972799899,0.3500595087206811,0.6154218222334427,0.6703615619143795,0.05949593712447242,0.038572225677939276,0.18297576204536042,7.467050378239919,0.0,0.9475062492091543,0.022705152105095938,3.100661316926621,2.964374288032409
tr_0000_merge_driven_regular,2,merge_driven,regular,graph_system,-6.742180167022811,-4.233501721737779,-0.44620993441944157,0.05050023001299129,0.020223199727079103,0.10520701078939029,0.06439229893058891,0.020072187467010644,0.0412638179359151,0.04806252324531876,0.07363478285226287,0.10544116954679239,0.0467538826819016,0.03401261780305658,0.09789133173293219,0.06770771462475164,0.0,0.04596368941894815,0.7288414690070346,0.08288093009122488,0.050775399732843174,0.003270598507018533,0.32486354695039166,0.03794004754922181,0.9758611609025523,0.7675784020060297,0.06439229893058891,0.03846573580527024,1.2031015989313727,0.003270598507018533,0.6858262896739151,0.07144907766484904,0.7288414690070346,0.7675784020060297,0.22975703153181268,0.04518327525138993,0.050775399732843174,6.486610317391321,0.0,0.9758611609025523,0.036588756733051175,3.119641934753461,2.9577905458047904
tr_0000_merge_driven_regular,3,merge_driven,regular,graph_system,-7.200066050346165,1.144819819675251,-0.16261319154856602,0.05575178863478399,0.008630049009235852,0.12087635288381916,0.0632716042487971,0.0031602989393151354,0.036095008809785965,0.04683684395174405,0.07261584585686232,0.14230532755959996,0.04635293626873654,0.03923604878983138,0.12480383028057815,0.06555996032023653,0.0,0.16658640691049037,0.3,0.0829131966725748,0.0,0.01787479710456778,0.34630938987085613,0.039346945084243634,0.8686507936507936,0.4,0.0632716042487971,0.035400611176312435,1.0,0.01787479710456778,0.7227923362441773,0.07147689368325413,0.3,0.4,0.25606281196284375,0.1452399125516191,0.0,6.782338689953418,0.0,0.8686507936507936,0.0,3.1094546924197726,2.9496485666492718
tr_0000_merge_driven_regular,4,merge_driven,regular,graph_system,-6.552740557794384,1.191494949134641,0.6694796311096346,0.06025054380767216,0.0010186496542992115,0.14648416659692506,0.21559867241789674,0.0,0.0325576261479339,0.044177160040111935,0.07828353176092218,0.17156784531569177,0.05143800307132915,0.04416084324457392,0.1454346368252785,0.06136925328846973,0.0,0.16619297348799747,0.3351866305949574,0.09657218714506743,0.004854356964029416,0.0038038919822278023,0.08459031481448309,0.38369836173993443,0.8774474512995329,0.4301599690813921,0.21559867241789674,0.033280541742049974,1.0194174278561177,0.0038038919822278023,0.761833931887594,0.08325188546988573,0.3351866305949574,0.4301599690813921,0.06232324797290511,0.041296171888252575,0.004854356964029416,7.094671455100752,0.0,0.8774474512995329,0.033280541742049974,3.104251552430677,2.9622657033499826
tr_0000_merge_driven_regular,5,merge_driven,regular,graph_system,-6.091173982381828,-1.8101810441314679,0.43422621929851485,0.06524193505007078,0.0,0.17092001647645683,0.2195509292190072,0.0,0.030251855791325003,0.038265922824796884,0.07981813212473757,0.2111545161666719,0.05682532868946722,0.04433863881252246,0.16453497014202054,0.05746155966836672,0.0,0.17151730614075703,0.5730358050589509,0.10081234420138752,0.03932197079843702,0.004255614525956381,0.07273607254406622,0.24667256830749745,0.9369097449155314,0.6340306900505294,0.2195509292190072,0.036108188737031366,1.157287883193748,0.004255614525956381,0.7573101483587346,0.0869071932770582,0.5730358050589509,0.6340306900505294,0.05229193199204062,0.04597335589608115,0.03932197079843702,7.0584811868698765,0.0,0.9369097449155314,0.036108188737031366,3.10867639487373,2.932696583922954
tr_0000_merge_driven_regular,6,merge_driven,regular,graph_system,-5.708195468052878,1.548477711818623,0.2026169664009921,0.06463116783782248,0.0,0.1852521833625539,0.20175137910217614,0.0,0.02577434085633496,0.03361906729839519,0.07580364037390087,0.24055875578971653,0.06022760553727736,0.04872614475123248,0.18595611485429162,0.059069442573522306,0.0,0.316820621205706,0.33377316979075905,0.10788045808897251,0.005204950040205325,0.026577480634977075,0.0831700026870329,0.4127686885605371,0.8770940860984834,0.4289484312492221,0.20175137910217614,0.030260351800996954,1.0208198001608213,0.026577480634977075,0.7845023252769545,0.09300039490428665,0.33377316979075905,0.4289484312492221,0.06128562743775544,0.18047916855425522,0.005204950040205325,7.276018602215636,0.0,0.8770940860984834,0.030260351800996954,3.0938590684338125,3.0773362384156107
tr_0000_merge_driven_regular,7,merge_driven,regular,graph_system,-4.279715410985149,2.234683356193809,2.219756606027201,0.06914631297861455,0.0,0.2032532084635258,0.4823621943693436,0.0,0.027228329448538535,0.03714597695118453,0.07667955553637813,0.2733369716657566,0.0624502264788082,0.05213311560731166,0.20562182821456787,0.056934567670444955,0.0,0.24325179819928833,0.3365468999735334,0.4346355473706309,0.02269225982099482,0.004213754503125345,0.08248028608807201,0.3250728853576056,0.8777875186441769,0.43132591426302863,0.4823621943693436,0.3240195341587536,1.0907690392839793,0.004213754503125345,0.8441563438525042,0.3746858166988198,0.3365468999735334,0.43132591426302863,0.060760236389378844,0.1864043748421288,0.02269225982099482,7.753250750820033,0.0,0.8777875186441769,0.0448913858215092,3.0826952920009205,3.0676125052978738
tr_0000_merge_driven_regular,8,merge_driven,regular,graph_system,-5.357600606164668,1.6177899015500987,2.528880752262115,0.06667816673572467,0.0,0.22071060354691033,0.39124925032939856,0.0,0.025768033152423295,0.037145528913815916,0.08141931516280386,0.31023497914729636,0.06112278810674909,0.047938126418136606,0.22875488348019837,0.05658492969151475,0.0,0.1402028631079891,0.3391113655765107,0.44544353671430603,0.024888435725895885,0.005575871959362751,0.07090226736095206,0.3963412692634391,0.8784286350449213,0.43352402763700926,0.39124925032939856,0.03589072098429125,1.0995537429035835,0.005575871959362751,0.7993246821292859,0.38400304889164316,0.3391113655765107,0.43352402763700926,0.05221749277911071,0.05036229416942262,0.024888435725895885,7.394597457034287,0.0,0.8784286350449213,0.03589072098429125,3.096067311319482,3.005935135174934
tr_0000_merge_driven_regular,9,merge_driven,regular,graph_system,-5.681969008456426,-2.326956410548768,0.5482786766400707,0.06843070239303406,0.0,0.2386094476577329,0.21715578770546368,0.0,0.02508328886855622,0.03381142872000806,0.07822799210446761,0.3502904672669277,0.057206580453608734,0.04971738894708412,0.2555835259981064,0.05259160310287425,0.0,0.1481048726634358,0.6138513514693374,0.13246762652869393,0.059393062302808663,0.019866474238041474,0.08451222593953811,0.20898201629441593,0.947113631518128,0.669015444116575,0.21715578770546368,0.04248257265183164,1.2375722492112347,0.019866474238041474,0.7704408309609763,0.11419622976611546,0.6138513514693374,0.669015444116575,0.060499421574355165,0.04490314929041567,0.059393062302808663,7.16352664768781,0.0,0.947113631518128,0.03308943311932233,3.1079426198290543,3.02251134837149
