architecture_id,paradigm,e_star_complete,correspondence_score,mapping_ambiguity,C1,C2,C3,C4,C5
a000076,rewriting_system,False,0.6538043453419532,0.025,[],[],[6],"[3, 2]",[]
a000077,sat_based,False,0.6271254282832757,0.06666666666666667,[],"[0, 1, 2, 4]",[],[5],[]
a000078,random_interaction,False,0.6853373829794378,0.0,[],[],[0],[3],[]
a000079,rewriting_system,False,0.511656427181858,0.06,[],[],[],"[6, 2, 5, 7]",[]
a000080,sat_based,False,0.6813214659416228,0.0,[],[3],[1],[],[6]
a000081,differentiable_system,False,0.4214027236002794,0.0,[],[],[],[],[]
a000082,rewriting_system,False,0.46629677369492617,0.05,[],[],[],"[1, 3]",[]
a000083,cellular_automata,False,0.4630865825219871,0.11428571428571428,[],[],[],"[1, 5, 2, 6, 0]",[]
a000084,hypergraph,False,0.577991485015196,0.02222222222222222,[7],[],[],[],"[8, 5]"
a000085,symbolic_system,False,0.7043776580005016,0.03333333333333333,[],[5],[],[2],"[1, 0]"
a000086,graph_system,False,0.5369901548034098,0.0,[],[2],[],[1],[]
a000087,symbolic_system,False,0.6027277988944519,0.03333333333333333,"[1, 5]",[],[],[],[2]
a000088,differentiable_system,False,0.4248808258007154,0.0,[],[],[0],[],[]
a000089,graph_system,False,0.6203095542927906,0.0,[],[],[2],[0],[]
a000090,symbolic_system,False,0.6089508000513475,0.0,[1],[],[],[],[0]
a000091,random_interaction,False,0.6634251928158243,0.0,[],[],[],[4],[1]
a000092,symbolic_system,False,0.5657226470508621,0.0,[],[3],[],[0],[]
a000093,graph_system,False,0.5213059949713583,0.0,[],[],[],[4],[]
a000094,cellular_automata,False,0.44869286374205136,0.0,[],[],[],[],[]
a000095,differentiable_system,False,0.5635659557636344,0.0,[],[],[],[2],[1]
a000096,cellular_automata,False,0.6383682907203966,0.0,[],[],[],[2],[4]
a000097,graph_system,False,0.6026407669471581,0.0,[],[0],[],[6],[]
a000098,graph_system,False,0.6182780042220576,0.0,[],[],[0],[],[2]
a000099,rewriting_system,False,0.44607625627557096,0.08,[],[],[],"[3, 1, 0]",[]
a000100,probabilistic_system,False,0.6141619687140393,0.0,[],[],[0],[2],[]
a000101,rewriting_system,False,0.5184813202204417,0.03333333333333333,[],[3],[],"[2, 0]",[]
a000102,sat_based,False,0.5019086595694129,0.0,[],[4],[],[],[]
a000103,symbolic_system,False,0.5476061870103266,0.0,[],[0],[],[2],[]
a000104,cellular_automata,False,0.4278802558739029,0.0,[2],[],[],[],[]
a000105,sat_based,False,0.6256374211984234,0.0,[],[],[],[1],[0]
a000106,differentiable_system,False,0.5158990771019021,0.0,[],[],[0],[],[]
a000107,rewriting_system,False,0.6618619453696454,0.0,[],[],[],[1],[]
a000108,sat_based,False,0.49462080806807285,0.0,[0],[],[],[],[]
a000109,cellular_automata,False,0.5600862937754665,0.0,[],[1],[],[6],[]
a000110,probabilistic_system,False,0.5938892059823622,0.0,[],[],[],[2],[0]
a000111,symbolic_system,False,0.6609029324269372,0.0,[3],[],[],[2],[4]
a000112,probabilistic_system,False,0.5657971810984925,0.0,[],[0],[2],[],[1]
a000113,cellular_automata,False,0.5489648523018463,0.0,[],[],[],[],[]
a000114,symbolic_system,False,0.6254870823282948,0.05714285714285714,[2],"[6, 1]",[],[],"[4, 5]"
a000115,hypergraph,False,0.6231831559492691,0.025,"[3, 2]",[],[],[7],[4]
a000116,symbolic_system,False,0.6714139204206934,0.0,[],[],[],[3],[1]
a000117,cellular_automata,False,0.5427197188367232,0.0,[0],[2],[],[],[]
a000118,probabilistic_system,False,0.4303272360509728,0.0,[],[],[],[],[]
a000119,cellular_automata,False,0.4199088087482325,0.0,[2],[],[],[],[]
a000120,sat_based,False,0.44155047460542296,0.0,[],[],[],[],[2]
a000121,random_interaction,False,0.5163411347430283,0.0,[],[0],[],[1],[]
a000122,sat_based,False,0.535755006065688,0.05714285714285714,[],[],"[6, 0, 2]",[],[]
a000123,random_interaction,False,0.4296045674972741,0.0,[],[],[],[],[]
a000124,differentiable_system,False,0.2671039629426788,0.0,[],[],[],[],[]
a000125,symbolic_system,False,0.5931212946322668,0.02,[],[],[],"[4, 8]",[]
a000126,differentiable_system,False,0.5988967689061722,0.0,[],[3],[],[5],[]
a000127,rewriting_system,False,0.6154771984284877,0.075,[],[],[],"[7, 5, 6, 4]",[3]
a000128,probabilistic_system,False,0.6172044845001581,0.0,[1],[5],[2],[],[]
a000129,probabilistic_system,False,0.6441472217196671,0.0,[],[2],[],[8],[1]
a000130,cellular_automata,False,0.44876759190628623,0.0,[],[],[],[],[]
a000131,hypergraph,False,0.4588421806109569,0.06666666666666667,"[1, 0]",[],[],[],[]
a000132,hypergraph,False,0.5833954095262286,0.02222222222222222,[],[],[],[],"[5, 6]"
a000133,cellular_automata,False,0.5242364760530526,0.0,[4],[],[],[],[]
a000134,probabilistic_system,False,0.3958000371015415,0.0,[],[1],[],[],[]
a000135,symbolic_system,False,0.5833255701692122,0.02222222222222222,[3],"[8, 6]",[],[],[]
a000136,probabilistic_system,False,0.5777350228090562,0.0,[4],[],[],[],[1]
a000137,sat_based,False,0.4630455229825934,0.0,[],[0],[4],[],[]
a000138,differentiable_system,False,0.6135009044224292,0.0,[0],[],[],[2],[]
a000139,probabilistic_system,False,0.6357072775310744,0.0,[],[],[2],[],[3]
a000140,probabilistic_system,False,0.6135157926157934,0.0,[],[],[1],[],[4]
a000141,symbolic_system,False,0.5230132496596607,0.04,[],[],[],[],"[2, 0]"
a000142,cellular_automata,False,0.48411286847432944,0.0,[5],[],[],[],[]
a000143,cellular_automata,False,0.6893606331381391,0.0,[2],[6],[4],[],[]
a000144,rewriting_system,False,0.5512437188865766,0.025,[],[],[],"[5, 3]",[]
a000145,cellular_automata,False,0.6937426724201196,0.02,"[8, 5]",[],[],[],[7]
a000146,cellular_automata,False,0.5054503126496352,0.0,[],[],[],[0],[]
a000147,graph_system,False,0.5848459333079719,0.02,[],[8],[],"[5, 2]",[]
a000148,random_interaction,False,0.45251032035635086,0.0,[],[],[],[],[]
a000149,probabilistic_system,False,0.6173743925881023,0.0,[1],[6],[],[],[]
a000150,graph_system,False,0.40033665483034114,0.08,[],[],[],"[0, 4, 1]",[]
a000151,differentiable_system,False,0.4594849843625274,0.0,[],[],[],[],[2]
a000152,sat_based,False,0.4955831737784801,0.0,[],[],[0],[],[]
a000153,probabilistic_system,False,0.5797007559022215,0.0,[],[],[],[4],[0]
a000154,probabilistic_system,False,0.5315540249716355,0.0,[],[],[],[],[0]
a000155,hypergraph,False,0.669058309375102,0.0,[5],[],[],[2],[0]
a000156,cellular_automata,False,0.5114502541132709,0.0,[0],[],[],[],[]
a000157,hypergraph,False,0.6351024289947504,0.0,[2],[],[4],[],[1]
a000158,graph_system,False,0.5228952219188786,0.0,[],[],[],[2],[0]
a000159,rewriting_system,False,0.5204983217822352,0.08888888888888888,[],[],[],"[8, 2, 5, 6, 7]",[]
a000160,rewriting_system,False,0.3738315615503792,0.13333333333333333,[],[],[],"[0, 1, 2]",[]
a000161,random_interaction,False,0.5751270629006294,0.0,[],[],[],[],[1]
a000162,symbolic_system,False,0.7088946661671136,0.02,[],[],[],[8],"[5, 1]"
a000163,sat_based,False,0.32087854773254615,0.13333333333333333,[],"[1, 0, 2]",[],[],[]
a000164,sat_based,False,0.5096176541763693,0.0,[],[8],[0],[],[]
a000165,rewriting_system,False,0.6143570704239106,0.08571428571428572,[4],[2],[],"[5, 3, 6, 1]",[]
a000166,probabilistic_system,False,0.5027551093642013,0.0,[0],[],[],[],[]
a000167,probabilistic_system,False,0.6575021662717068,0.0,[],[],[0],[],[5]
a000168,symbolic_system,False,0.5581929818426419,0.0,[],[1],[],[],[4]
a000169,differentiable_system,False,0.40183170726746553,0.0,[],[],[],[],[]
a000170,hypergraph,False,0.4873399229546475,0.02222222222222222,"[5, 1]",[],[],[],[]
a000171,sat_based,False,0.3829970695358894,0.0,[],[0],[],[],[]
a000172,sat_based,False,0.43801704894658744,0.05714285714285714,[],"[4, 0, 2]",[3],[],[]
a000173,graph_system,False,0.6892839762502294,0.02,[3],[2],[],"[9, 7]",[]
a000174,sat_based,False,0.5309882805481021,0.06666666666666667,"[4, 1]","[2, 3]",[],[],[]
a000175,cellular_automata,False,0.4970868214717223,0.0,[],[],[0],[],[]
a000176,sat_based,False,0.46067189753562465,0.0,[],[9],[6],[],[]
a000177,probabilistic_system,False,0.6511070962609664,0.02222222222222222,[],"[2, 1]",[],[3],[]
a000178,graph_system,False,0.657033365614754,0.0,[0],[],[7],[3],[]
a000179,graph_system,False,0.7834119184840506,0.0,[],[3],[5],[4],[7]
a000180,symbolic_system,False,0.7561068360596941,0.0,[],[],[6],[],[2]
a000181,differentiable_system,False,0.49109947290314515,0.0,[],[],[7],[],[]
a000182,differentiable_system,False,0.37674324572012063,0.0,[],[],[],[],[]
a000183,cellular_automata,False,0.5435499038675087,0.04,[],[],[],"[2, 0]",[]
a000184,sat_based,False,0.6426713727385673,0.04444444444444444,[],[],[7],"[8, 3, 0]",[5]
a000185,graph_system,False,0.5136555706827988,0.05,[],[],[],"[0, 1, 5]",[]
a000186,differentiable_system,False,0.4083684939219456,0.0,[],[],[],[],[]
a000187,symbolic_system,False,0.5707175913006365,0.0,[],[],[],[],[]
a000188,rewriting_system,False,0.45156978801198766,0.06666666666666667,[],[],[],"[0, 1, 4]",[]
a000189,differentiable_system,False,0.5184968636996624,0.02,[],[],"[7, 8]",[],[]
a000190,probabilistic_system,False,0.5406361455244016,0.0,[],[],[0],[2],[]
a000191,probabilistic_system,False,0.5782974169071526,0.0,[4],[],[7],[],[]
a000192,differentiable_system,False,0.5780241033151272,0.0,[],[5],[],[3],[]
a000193,sat_based,False,0.39611616942301575,0.0,[],[2],[],[],[]
a000194,hypergraph,False,0.6447452216627645,0.0,[6],[],[3],[],[]
a000195,hypergraph,False,0.542222419000915,0.0,[3],[],[6],[],[]
a000196,differentiable_system,False,0.2870388508987691,0.0,[],[],[],[],[]
a000197,differentiable_system,False,0.4763660101125054,0.0,[],[],[],[],[]
a000198,graph_system,False,0.5193792409330366,0.075,[],[],[],"[6, 0, 3, 5]",[]
a000199,hypergraph,False,0.5679163161273701,0.05,[3],[],[],[],"[4, 0, 5]"
a000200,rewriting_system,False,0.6892087522806157,0.0,[],[],[0],[2],[]
a000201,random_interaction,False,0.5416558987830269,0.0,[],[],[0],[],[]
a000202,probabilistic_system,False,0.4884452176170216,0.0,[],[],[],[],[]
a000203,hypergraph,False,0.6289542613978425,0.0,[],[2],[0],[1],[]
a000204,hypergraph,False,0.628989356319769,0.0,[4],[1],[],[0],[]
a000205,rewriting_system,False,0.569639252197048,0.03333333333333333,[],[],[],"[1, 4]",[3]
a000206,probabilistic_system,False,0.5109094769954478,0.025,[],[],"[1, 6]",[],[]
a000207,probabilistic_system,False,0.6648652313241861,0.0,[],[3],[7],[],[]
a000208,sat_based,False,0.6384131615200873,0.02,[],[],[],"[2, 9]",[7]
a000209,cellular_automata,False,0.4984105908447985,0.0,[4],[],[],[],[]
a000210,probabilistic_system,False,0.4529510126478208,0.0,[],[],[],[],[]
a000211,hypergraph,False,0.6023965901565032,0.0,[0],[],[],[1],[]
a000212,sat_based,False,0.3323530208299973,0.0,[],[2],[],[],[]
a000213,hypergraph,False,0.6563374219121927,0.0,[2],[],[],[4],[1]
a000214,sat_based,False,0.507760757103067,0.06666666666666667,[],[],[],"[2, 1]",[]
a000215,graph_system,False,0.5568396500504186,0.05,[],[],[],"[2, 3]",[]
a000216,hypergraph,False,0.6240058966875738,0.03333333333333333,[],"[0, 1]",[],[3],[]
