implementation,objective,world,ablation,seed,pc1,pc2,cluster
dag,novelty,random,remove_composition,0,-3.979752650868684,0.21583172326689,1
dag,novelty,random,remove_hierarchy,0,-0.8182497612877969,1.4849639260833973,6
dag,novelty,no_regularities,standard,0,-4.552625620651408,0.39123184120000043,1
dag,novelty,no_regularities,equal_abstraction_budget,0,-4.552625620651408,0.39123184120000043,1
dag,novelty,no_regularities,remove_composition,0,-4.552625620651408,0.39123184120000043,1
dag,novelty,no_regularities,remove_hierarchy,0,-4.552625620651408,0.39123184120000043,1
dag,novelty,hierarchical,standard,0,0.8198294805140833,1.5257463353091298,6
dag,novelty,hierarchical,equal_abstraction_budget,0,0.8198294805140833,1.5257463353091298,6
dag,novelty,hierarchical,remove_composition,0,-0.8565926055191316,-3.771418542216121,3
dag,novelty,hierarchical,remove_hierarchy,0,0.8198294805140833,1.5257463353091298,6
dag,novelty,compositional,standard,0,0.9454135299179287,1.4524710554766342,6
dag,novelty,compositional,equal_abstraction_budget,0,0.9454135299179287,1.4524710554766342,6
dag,novelty,compositional,remove_composition,0,-0.7008383779442628,-3.8526578258228152,3
dag,novelty,compositional,remove_hierarchy,0,0.9454135299179287,1.4524710554766342,6
dag,novelty,partial,standard,0,2.292194946063981,2.215571173808607,4
dag,novelty,partial,equal_abstraction_budget,0,2.292194946063981,2.215571173808607,4
dag,novelty,partial,remove_composition,0,-1.4692242664804538,-1.5398126185844987,5
dag,novelty,partial,remove_hierarchy,0,0.16307980482284773,1.5989267804712843,6
dag,novelty,anti_compositional,standard,0,1.0456256657790621,1.1179756372689567,6
dag,novelty,anti_compositional,equal_abstraction_budget,0,0.9908971387099491,1.0964086030001041,6
dag,novelty,anti_compositional,remove_composition,0,-0.8619548185665848,-5.488046885391772,3
dag,novelty,anti_compositional,remove_hierarchy,0,1.0456256657790621,1.1179756372689567,6
dag,prediction_lifetime,random,standard,0,0.6112947621819846,1.5699658219999248,7
dag,prediction_lifetime,random,equal_abstraction_budget,0,0.6112947621819846,1.5699658219999248,7
dag,prediction_lifetime,random,remove_composition,0,-3.979752650868684,0.21583172326689,1
dag,prediction_lifetime,random,remove_hierarchy,0,-0.8033589219149583,1.3513507021096987,6
dag,prediction_lifetime,no_regularities,standard,0,-4.552625620651408,0.39123184120000043,1
dag,prediction_lifetime,no_regularities,equal_abstraction_budget,0,-4.552625620651408,0.39123184120000043,1
dag,prediction_lifetime,no_regularities,remove_composition,0,-4.552625620651408,0.39123184120000043,1
dag,prediction_lifetime,no_regularities,remove_hierarchy,0,-4.552625620651408,0.39123184120000043,1
dag,prediction_lifetime,hierarchical,standard,0,4.799447441937475,-0.320464665759493,2
dag,prediction_lifetime,hierarchical,equal_abstraction_budget,0,4.5313728097803825,-0.17987633296263006,2
dag,prediction_lifetime,hierarchical,remove_composition,0,-0.853700382561469,-3.7837023196435147,3
dag,prediction_lifetime,hierarchical,remove_hierarchy,0,1.0423647497728967,-2.319715429652792,3
dag,prediction_lifetime,compositional,standard,0,4.9967361301989754,-0.4233677583279725,2
dag,prediction_lifetime,compositional,equal_abstraction_budget,0,4.707894267698568,-0.27194752105021713,2
dag,prediction_lifetime,compositional,remove_composition,0,-0.6979461549866003,-3.864941603250209,3
dag,prediction_lifetime,compositional,remove_hierarchy,0,1.0631319801162125,-2.330547334133685,3
dag,prediction_lifetime,partial,standard,0,3.1215931609434504,1.3355749293328778,4
dag,prediction_lifetime,partial,equal_abstraction_budget,0,2.6747462903117936,1.2441630081834392,4
dag,prediction_lifetime,partial,remove_composition,0,-1.4661430698705131,-1.3160137481867973,5
dag,prediction_lifetime,partial,remove_hierarchy,0,-0.6395051479519748,-0.46873891670277,5
dag,prediction_lifetime,anti_compositional,standard,0,4.94575874641495,-0.21938827715301565,2
dag,prediction_lifetime,anti_compositional,equal_abstraction_budget,0,4.552886334791995,-0.19860209710383164,2
dag,prediction_lifetime,anti_compositional,remove_composition,0,-0.8671608198903773,-5.465936086022464,3
dag,prediction_lifetime,anti_compositional,remove_hierarchy,0,-0.03466241208883952,-2.379935195256617,3
dag,exact_memory,random,standard,0,-0.48366540103123945,2.322708999581944,6
dag,exact_memory,random,equal_abstraction_budget,0,-0.47746255675635985,2.1964793924595556,6
dag,exact_memory,random,remove_composition,0,-0.48366540103123945,2.322708999581944,6
dag,exact_memory,random,remove_hierarchy,0,-0.48366540103123945,2.322708999581944,6
dag,exact_memory,no_regularities,standard,0,-0.1356468400963078,2.0508192697661687,6
dag,exact_memory,no_regularities,equal_abstraction_budget,0,-0.12011360855677589,1.6473156061653373,6
dag,exact_memory,no_regularities,remove_composition,0,-0.1356468400963078,2.0508192697661687,6
dag,exact_memory,no_regularities,remove_hierarchy,0,-0.1356468400963078,2.0508192697661687,6
dag,exact_memory,hierarchical,standard,0,-0.4410218188136824,1.6778232047184685,6
dag,exact_memory,hierarchical,equal_abstraction_budget,0,-0.4410218188136824,1.6778232047184685,6
dag,exact_memory,hierarchical,remove_composition,0,-0.4410218188136824,1.6778232047184685,6
dag,exact_memory,hierarchical,remove_hierarchy,0,-0.4410218188136824,1.6778232047184685,6
dag,exact_memory,compositional,standard,0,-0.4617890491569982,1.6886551091993611,6
dag,exact_memory,compositional,equal_abstraction_budget,0,-0.4617890491569982,1.6886551091993611,6
dag,exact_memory,compositional,remove_composition,0,-0.4617890491569982,1.6886551091993611,6
dag,exact_memory,compositional,remove_hierarchy,0,-0.4617890491569982,1.6886551091993611,6
dag,exact_memory,partial,standard,0,-0.1865879510515518,2.546471001149425,6
dag,exact_memory,partial,equal_abstraction_budget,0,-0.1865879510515518,2.546471001149425,6
dag,exact_memory,partial,remove_composition,0,-0.1865879510515518,2.546471001149425,6
dag,exact_memory,partial,remove_hierarchy,0,-0.1865879510515518,2.546471001149425,6
dag,exact_memory,anti_compositional,standard,0,0.011808670544470448,2.285066215478768,6
dag,exact_memory,anti_compositional,equal_abstraction_budget,0,0.09261933362578846,1.5713045040643558,6
dag,exact_memory,anti_compositional,remove_composition,0,0.011808670544470448,2.285066215478768,6
dag,exact_memory,anti_compositional,remove_hierarchy,0,0.011808670544470448,2.285066215478768,6
hypergraph,accuracy,random,standard,0,-3.23617250055976,0.1995430598485664,0
hypergraph,accuracy,random,equal_abstraction_budget,0,-3.23617250055976,0.1995430598485664,0
hypergraph,accuracy,random,remove_composition,0,-3.979752650868684,0.21583172326689,1
hypergraph,accuracy,random,remove_hierarchy,0,-3.23617250055976,0.1995430598485664,0
hypergraph,accuracy,no_regularities,standard,0,-4.552625620651408,0.39123184120000043,1
hypergraph,accuracy,no_regularities,equal_abstraction_budget,0,-4.552625620651408,0.39123184120000043,1
hypergraph,accuracy,no_regularities,remove_composition,0,-4.552625620651408,0.39123184120000043,1
hypergraph,accuracy,no_regularities,remove_hierarchy,0,-4.552625620651408,0.39123184120000043,1
hypergraph,accuracy,hierarchical,standard,0,4.90510242392557,0.2087292502167893,2
hypergraph,accuracy,hierarchical,equal_abstraction_budget,0,4.753226217007766,0.33236988724971883,2
hypergraph,accuracy,hierarchical,remove_composition,0,-0.8668501401168361,-3.7379676170004963,3
hypergraph,accuracy,hierarchical,remove_hierarchy,0,2.529461939121579,-0.3585865843888795,3
hypergraph,accuracy,compositional,standard,0,5.242063716611364,0.03316513471925108,2
hypergraph,accuracy,compositional,equal_abstraction_budget,0,4.919796107629073,0.24545393983264005,2
hypergraph,accuracy,compositional,remove_composition,0,-0.7110959125419675,-3.8192069006071905,3
hypergraph,accuracy,compositional,remove_hierarchy,0,2.611683167157133,-0.4019764790468016,3
hypergraph,accuracy,partial,standard,0,1.9236834827405191,1.854193660403562,4
hypergraph,accuracy,partial,equal_abstraction_budget,0,1.9236834827405191,1.854193660403562,4
hypergraph,accuracy,partial,remove_composition,0,-1.4562940049862794,-1.3464024044659544,5
hypergraph,accuracy,partial,remove_hierarchy,0,0.6872104570113862,1.6762375616490899,6
hypergraph,accuracy,anti_compositional,standard,0,4.16590226391976,-0.41657849315916906,2
hypergraph,accuracy,anti_compositional,equal_abstraction_budget,0,4.16590226391976,-0.41657849315916906,2
hypergraph,accuracy,anti_compositional,remove_composition,0,-0.8619548185665848,-5.488046885391772,3
hypergraph,accuracy,anti_compositional,remove_hierarchy,0,1.4261065843192346,-1.044986448716402,3
hypergraph,compression,random,standard,0,-3.23617250055976,0.1995430598485664,0
hypergraph,compression,random,equal_abstraction_budget,0,-3.23617250055976,0.1995430598485664,0
