objective,world,ablation,seed,abstraction_count,alive_count,graph_depth,dag_width,mean_lifetime,mean_exposure_lifetime,mean_reuse,valid_reuse,raw_transfer_reuse,valid_transfer_reuse,transfer_correctness,graph_compression_ratio,semantic_subsumption_ratio,branching_factor,hierarchy_emergence_time,births,deaths,regime,implementation
compression,partial,remove_hierarchy,0,25,14,1,14,5.6,2.84,3.28,71,33,29,0.8787878787878788,3.5714285714285716,0.0,0.0,0,25,11,flat_memory,hypergraph
compression,anti_compositional,standard,0,37,34,2,28,6.351351351351352,5.54054054054054,5.621621621621622,205,141,141,1.0,1.4705882352941178,1.0,0.3783783783783784,14,37,3,reusable_feature_graph,hypergraph
compression,anti_compositional,equal_abstraction_budget,0,37,34,2,28,6.351351351351352,5.54054054054054,5.621621621621622,205,141,141,1.0,1.4705882352941178,1.0,0.3783783783783784,14,37,3,reusable_feature_graph,hypergraph
compression,anti_compositional,remove_composition,0,5,4,1,4,15.0,13.6,13.8,68,34,34,1.0,12.5,0.0,0.0,0,5,1,flat_reusable_features,hypergraph
compression,anti_compositional,remove_hierarchy,0,22,19,1,19,8.636363636363637,7.136363636363637,7.2727272727272725,157,89,89,1.0,2.6315789473684212,0.0,0.0,0,22,3,flat_reusable_features,hypergraph
lifetime_reuse,random,standard,0,37,14,1,14,5.5675675675675675,0.16216216216216217,0.7837837837837838,6,34,15,0.4411764705882353,3.5714285714285716,0.0,0.0,0,37,23,flat_memory,hypergraph
lifetime_reuse,random,equal_abstraction_budget,0,37,14,1,14,5.5675675675675675,0.16216216216216217,0.7837837837837838,6,34,15,0.4411764705882353,3.5714285714285716,0.0,0.0,0,37,23,flat_memory,hypergraph
lifetime_reuse,random,remove_composition,0,2,0,1,0,1.5,0.0,1.0,0,0,0,0.0,50.0,0.0,0.0,0,2,2,collapse,hypergraph
lifetime_reuse,random,remove_hierarchy,0,37,14,1,14,5.5675675675675675,0.16216216216216217,0.7837837837837838,6,34,15,0.4411764705882353,3.5714285714285716,0.0,0.0,0,37,23,flat_memory,hypergraph
lifetime_reuse,no_regularities,standard,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,hypergraph
lifetime_reuse,no_regularities,equal_abstraction_budget,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,hypergraph
lifetime_reuse,no_regularities,remove_composition,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,hypergraph
lifetime_reuse,no_regularities,remove_hierarchy,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,hypergraph
lifetime_reuse,hierarchical,standard,0,49,47,2,29,4.714285714285714,4.326530612244898,4.36734693877551,212,153,153,1.0,1.0638297872340425,1.0,0.7346938775510204,11,49,2,reusable_feature_graph,hypergraph
lifetime_reuse,hierarchical,equal_abstraction_budget,0,49,35,2,27,5.408163265306122,4.142857142857143,4.183673469387755,203,133,133,1.0,1.4285714285714286,1.0,0.7755102040816326,11,49,14,reusable_feature_graph,hypergraph
lifetime_reuse,hierarchical,remove_composition,0,9,5,1,5,10.88888888888889,9.555555555555555,10.0,86,38,38,1.0,10.0,0.0,0.0,0,9,4,flat_reusable_features,hypergraph
lifetime_reuse,hierarchical,remove_hierarchy,0,23,21,1,21,8.043478260869565,7.217391304347826,7.304347826086956,166,94,94,1.0,2.380952380952381,0.0,0.0,0,23,2,flat_reusable_features,hypergraph
lifetime_reuse,compositional,standard,0,49,47,2,29,4.714285714285714,4.326530612244898,4.36734693877551,212,172,172,1.0,1.0638297872340425,1.0,0.7346938775510204,11,49,2,reusable_feature_graph,hypergraph
lifetime_reuse,compositional,equal_abstraction_budget,0,49,35,2,27,5.408163265306122,4.142857142857143,4.183673469387755,203,153,153,1.0,1.4285714285714286,1.0,0.7755102040816326,11,49,14,reusable_feature_graph,hypergraph
lifetime_reuse,compositional,remove_composition,0,9,5,1,5,10.88888888888889,9.555555555555555,10.0,86,53,53,1.0,10.0,0.0,0.0,0,9,4,flat_reusable_features,hypergraph
lifetime_reuse,compositional,remove_hierarchy,0,23,21,1,21,8.043478260869565,7.217391304347826,7.304347826086956,166,98,98,1.0,2.380952380952381,0.0,0.0,0,23,2,flat_reusable_features,hypergraph
lifetime_reuse,partial,standard,0,49,39,3,22,4.428571428571429,2.0,2.204081632653061,98,40,39,0.975,1.2820512820512822,1.0,0.6938775510204082,18,49,10,abstraction_dag,hypergraph
lifetime_reuse,partial,equal_abstraction_budget,0,49,35,3,20,5.244897959183674,2.0,2.204081632653061,98,38,37,0.9736842105263158,1.4285714285714286,1.0,0.7755102040816326,18,49,14,abstraction_dag,hypergraph
lifetime_reuse,partial,remove_composition,0,14,5,1,5,7.357142857142857,3.7857142857142856,4.428571428571429,53,23,19,0.8260869565217391,10.0,0.0,0.0,0,14,9,flat_reusable_features,hypergraph
lifetime_reuse,partial,remove_hierarchy,0,25,15,1,15,7.72,2.92,3.32,73,28,28,1.0,3.3333333333333335,0.0,0.0,0,25,10,flat_memory,hypergraph
lifetime_reuse,anti_compositional,standard,0,46,46,3,27,4.0,4.0,4.0,184,142,142,1.0,1.0869565217391304,1.0,0.8260869565217391,12,46,0,abstraction_dag,hypergraph
lifetime_reuse,anti_compositional,equal_abstraction_budget,0,46,35,3,26,5.586956521739131,3.9347826086956523,3.9347826086956523,181,122,122,1.0,1.4285714285714286,1.0,0.8695652173913043,12,46,11,abstraction_dag,hypergraph
lifetime_reuse,anti_compositional,remove_composition,0,5,4,1,4,15.0,13.6,13.8,68,34,34,1.0,12.5,0.0,0.0,0,5,1,flat_reusable_features,hypergraph
lifetime_reuse,anti_compositional,remove_hierarchy,0,18,18,1,18,6.777777777777778,6.777777777777778,6.777777777777778,122,73,73,1.0,2.7777777777777777,0.0,0.0,0,18,0,flat_reusable_features,hypergraph
novelty,random,standard,0,38,13,1,13,5.2368421052631575,0.15789473684210525,0.8157894736842105,6,31,14,0.45161290322580644,3.8461538461538463,0.0,0.0,0,38,25,flat_memory,hypergraph
