objective,world,ablation,seed,pc1,pc2,cluster
novelty,hierarchical,standard,0,0.819829480514086,1.5257463353091307,6
novelty,hierarchical,equal_abstraction_budget,0,0.819829480514086,1.5257463353091307,6
novelty,hierarchical,remove_composition,0,-0.8565926055191322,-3.7714185422161215,3
novelty,hierarchical,remove_hierarchy,0,0.819829480514086,1.5257463353091307,6
novelty,compositional,standard,0,0.9454135299179315,1.4524710554766351,6
novelty,compositional,equal_abstraction_budget,0,0.9454135299179315,1.4524710554766351,6
novelty,compositional,remove_composition,0,-0.7008383779442636,-3.8526578258228152,3
novelty,compositional,remove_hierarchy,0,0.9454135299179315,1.4524710554766351,6
novelty,partial,standard,0,2.2921949460639803,2.215571173808608,4
novelty,partial,equal_abstraction_budget,0,2.2921949460639803,2.215571173808608,4
novelty,partial,remove_composition,0,-1.4692242664804536,-1.5398126185844974,5
novelty,partial,remove_hierarchy,0,0.1630798048228505,1.5989267804712854,6
novelty,anti_compositional,standard,0,1.0456256657790641,1.117975637268957,6
novelty,anti_compositional,equal_abstraction_budget,0,0.9908971387099514,1.0964086030001043,6
novelty,anti_compositional,remove_composition,0,-0.8619548185665862,-5.48804688539177,3
novelty,anti_compositional,remove_hierarchy,0,1.0456256657790641,1.117975637268957,6
prediction_lifetime,random,standard,0,0.6112947621819861,1.5699658219999275,-1
prediction_lifetime,random,equal_abstraction_budget,0,0.6112947621819861,1.5699658219999275,-1
prediction_lifetime,random,remove_composition,0,-3.979752650868686,0.21583172326688993,1
prediction_lifetime,random,remove_hierarchy,0,-0.8033589219149553,1.3513507021097007,6
prediction_lifetime,no_regularities,standard,0,-4.55262562065141,0.39123184119999965,1
prediction_lifetime,no_regularities,equal_abstraction_budget,0,-4.55262562065141,0.39123184119999965,1
prediction_lifetime,no_regularities,remove_composition,0,-4.55262562065141,0.39123184119999965,1
prediction_lifetime,no_regularities,remove_hierarchy,0,-4.55262562065141,0.39123184119999965,1
prediction_lifetime,hierarchical,standard,0,4.799447441937475,-0.3204646657594942,2
prediction_lifetime,hierarchical,equal_abstraction_budget,0,4.5313728097803825,-0.17987633296263056,2
prediction_lifetime,hierarchical,remove_composition,0,-0.8537003825614696,-3.7837023196435142,3
prediction_lifetime,hierarchical,remove_hierarchy,0,1.0423647497728976,-2.3197154296527933,3
prediction_lifetime,compositional,standard,0,4.9967361301989754,-0.4233677583279738,2
prediction_lifetime,compositional,equal_abstraction_budget,0,4.707894267698567,-0.2719475210502175,2
prediction_lifetime,compositional,remove_composition,0,-0.6979461549866011,-3.864941603250209,3
prediction_lifetime,compositional,remove_hierarchy,0,1.0631319801162133,-2.3305473341336858,3
prediction_lifetime,partial,standard,0,3.1215931609434504,1.3355749293328785,4
prediction_lifetime,partial,equal_abstraction_budget,0,2.674746290311795,1.2441630081834396,4
prediction_lifetime,partial,remove_composition,0,-1.4661430698705131,-1.316013748186796,5
prediction_lifetime,partial,remove_hierarchy,0,-0.6395051479519738,-0.46873891670276896,5
prediction_lifetime,anti_compositional,standard,0,4.945758746414948,-0.2193882771530173,2
prediction_lifetime,anti_compositional,equal_abstraction_budget,0,4.552886334791993,-0.19860209710383164,2
prediction_lifetime,anti_compositional,remove_composition,0,-0.8671608198903786,-5.465936086022462,3
prediction_lifetime,anti_compositional,remove_hierarchy,0,-0.03466241208883966,-2.3799351952566163,3
exact_memory,random,standard,0,-0.4836654010312361,2.3227089995819425,6
exact_memory,random,equal_abstraction_budget,0,-0.47746255675635646,2.1964793924595556,6
exact_memory,random,remove_composition,0,-0.4836654010312361,2.3227089995819425,6
exact_memory,random,remove_hierarchy,0,-0.4836654010312361,2.3227089995819425,6
exact_memory,no_regularities,standard,0,-0.1356468400963067,2.0508192697661674,6
