architecture_id,paradigm,e_star_complete,perturbation_sensitivity,propagation,fixed_point_strength,abstraction_growth,hierarchy_emergence,transfer,uncertainty_handling,reconstruction,convergence,stability,compositionality,substitution_response,canonical_class,lab_distance,weakest_lab_correspondence
a000001,rewriting_system,False,0.08514830870597866,0.6629393311567673,0.44990374976958214,0.5353991462377383,0.13265955084101688,0.019066972286850052,0.45531837104428585,0.6367530983340236,0.6333092707757288,0.5146068278626957,0.6188596373381585,0.5715665938793701,canon_020,0.39767952511319304,weak_behavioral_equivalence
a000002,cellular_automata,False,0.076685775538009,0.3228122403855252,0.6850162445749576,0.4183512168607004,0.24287285401382452,0.001360844619954247,0.43853372605185104,0.6518306832477125,0.6975698506174236,0.7176543345579673,0.5002693816584888,0.7149124020526338,canon_014,0.3876196436278658,weak_behavioral_equivalence
a000005,differentiable_system,False,0.07592220192200241,0.2707411288624152,0.7040426413288741,0.08424470849925214,0.051174095807208164,0.30421837509717176,0.04409819827577144,0.32599849014509363,0.8089220527372818,0.7340986096089177,0.07767228078585152,0.01723674069091663,canon_382,0.7086773550734098,failed
a000007,hypergraph,False,0.0694555084185178,0.2058367320085477,0.30118698143378575,0.8620391016838099,0.025455279486567284,0.0101114419676844,0.04581371511909571,0.5747800121225537,0.697187292622128,0.389935284925302,0.7296321433529525,0.06192115977803503,canon_429,0.7014399909445255,failed
a000013,sat_based,False,0.07311213947051036,0.25683864910995363,0.7676266953006454,0.6083151135890026,0.4241398721953098,0.15645284861711573,0.03985713709775551,0.48825309887118057,0.7943163123793783,0.7890974106331484,0.4683963644780086,0.0536830839080743,canon_318,0.45287365537591845,weak_behavioral_equivalence
a000020,differentiable_system,False,0.07197175437093369,0.06486367060375371,0.5898421979143975,0.404285455330032,0.17903150576594784,0.052121949829917136,0.031034736716089806,0.40136131087330873,0.7968111988292488,0.6369119363611004,0.26716958770714994,0.025445453305487087,canon_408,0.5472842899368134,failed
a000022,cellular_automata,False,0.07531918869176493,0.6746501391746047,0.5128670588145463,0.040705898010410246,0.013600429486830323,0.2772625849670086,0.04051510978764805,0.6194505714227891,0.6468889638737609,0.5703410057451472,0.24592245335942492,0.5596120690272841,canon_361,0.5711971830445991,failed
a000024,differentiable_system,False,0.10468466508030892,0.35718168899534997,0.2993896379861756,0.4566284673701494,0.018147019947517717,0.37303185646664383,0.044122126706037657,0.23392027535946597,0.77907276160922,0.38197092847054703,0.292384077568747,0.01979290457588867,canon_386,0.7717127687302757,failed
a000025,random_interaction,False,0.10327914772846836,0.5617845673261749,0.46273797389094645,0.4380172912662852,0.11940432491801839,0.3993454673172759,0.6657070869890829,0.263359463905804,0.6475993870897578,0.5222494522603952,0.42958978540783216,0.37573687563322067,canon_236,0.5242208516011763,failed
a000028,rewriting_system,False,0.07904094963865478,0.5483957045153687,0.3033199831830573,0.5288849672578018,0.01911187545093107,0.20125401475280558,0.39573777835511936,0.8655659670554048,0.5895286259327506,0.39006532028817076,0.6148429658375951,0.5633847182528855,canon_070,0.6344565559351409,failed
a000031,differentiable_system,False,0.10543678223437633,0.48723134356101294,0.2925740210674716,0.43562297496106983,0.013185735728148906,0.42758240542722414,0.03516372134194046,0.5326692472410335,0.6683816005049631,0.37598649964926645,0.36810117599472036,0.5349522348701059,canon_402,0.6907625863026255,failed
a000033,cellular_automata,False,0.11037149738189124,0.5399130492839982,0.6045817791435644,0.039345928477121705,0.01879622078562837,0.014311401738050697,0.29339401525550346,0.4167251310903608,0.8178121114525577,0.6424816295837146,0.3111676218656473,0.5620797859553244,canon_444,0.590385006635519,failed
a000039,hypergraph,False,0.09609571168013013,0.49541059429420253,0.6531017968994959,0.862628761486532,0.4675485729210841,0.10449839362218948,0.3902549385717924,0.5790359975002363,0.6727368757168681,0.6867643474187519,0.7461138959948763,0.83623315700595,canon_111,0.46985584063842506,weak_behavioral_equivalence
a000041,cellular_automata,False,0.0904444500998466,0.3719858455255487,0.7692335035864661,0.036936256667378986,0.02607258203035062,0.2947228938300113,0.4813349384596092,0.6373181564742181,0.7541061287056053,0.7873504989376732,0.1736636916829667,0.026085608730820553,canon_090,0.6770489528629822,failed
a000043,rewriting_system,False,0.08188538093870186,0.40831766777530737,0.5098129211930443,0.028295763240934524,0.009399012626501224,0.004190227332144187,0.28533799214635824,0.46070276163648954,0.7720204494511156,0.5665480374216965,0.33085550422154847,0.5621534859987618,canon_444,0.5901649130136584,failed
a000049,graph_system,False,0.11081465086231386,0.4031232811466881,0.44275505868433346,0.029826306737830044,0.007357851592857012,0.01375618998241726,0.03838811123417085,0.2780132143796651,0.8379614919438106,0.5036881393272102,0.20192950713576738,0.032500131433235824,canon_491,0.7207713469547087,failed
a000051,differentiable_system,False,0.0935016107482101,0.3256807635532705,0.6003972410072497,0.43500985215267696,0.20262089161601426,0.40101238168378367,0.6380774230524817,0.20158904186706406,0.7453374054899077,0.6420701179558657,0.26301529437681664,0.05911245006371357,canon_248,0.6171745894284362,failed
a000053,differentiable_system,False,0.10517194113376288,0.32524083815109134,0.3106467832159318,0.39747115017172063,0.02225600474282985,0.21881005592051853,0.40492689473031795,0.3137335094615754,0.7270123451546323,0.3915276313359123,0.34663557252437294,0.06336532420793417,canon_082,0.7186983700503352,failed
a000055,cellular_automata,False,0.060250017485408425,0.28830775628753535,0.7215126831334113,0.06491279890616286,0.04066884720211644,0.016737192834254618,0.03625358723242611,0.3266257468004794,0.8062474336484432,0.7518090391793668,0.04307030639592449,0.05886771068078933,canon_510,0.6942934551509031,failed
a000058,graph_system,False,0.10415733319151788,0.5190828482764636,0.4399133344866254,0.040302883093597974,0.009684951193226099,0.2136101623737429,0.6283586693044574,0.4814790670206132,0.7349783336216563,0.502519573529183,0.2062593617908793,0.37383283479563534,canon_288,0.5795883564242189,failed
a000059,sat_based,False,0.08189252539283218,0.5455855671509315,0.46183701141446937,0.4160482070682928,0.10968525112498362,0.2891880672303987,0.5089694326993608,0.7578298720476595,0.6309231703793906,0.5254245408192122,0.4603468700043453,0.6574126171418992,canon_145,0.3729928867877217,quotient_or_refinement_morphism
a000066,random_interaction,False,0.06644913630733765,0.3655140152338836,0.281307368337109,0.02233656590802724,0.0,0.013315474453784108,0.7176282467865722,0.019280788418998274,0.7552583489335922,0.373420345477065,0.020613516611282134,0.06966130790850367,canon_283,0.7089325766656629,failed
a000068,differentiable_system,False,0.07701018417678744,0.5106410572207001,0.3427440763995428,0.622613922630137,0.05709830257284099,0.30002332508810126,0.46542366955883796,0.7326823524519704,0.6120018085735699,0.4242203649075018,0.6286065210229672,0.3378514476220791,canon_055,0.5628907542492954,failed
a000069,cellular_automata,False,0.06164950502968645,0.1284069941812041,0.8078822927403129,0.057007794726657735,0.042780535030754074,0.007446850482053339,0.5659218004422397,0.3738675202920343,0.8043802117392951,0.8256000465145859,0.16315072368183786,0.030794100083124665,canon_194,0.6395342473350698,failed
a000071,differentiable_system,False,0.07572131143562284,0.4389132257861318,0.7502349701520781,0.387616556007885,0.2610056665786592,0.18493047949935085,0.49606601920652915,0.5524646512568487,0.6881149160641596,0.7737277578056239,0.32941197340590045,0.0636957705304344,canon_024,0.4445507077919768,weak_behavioral_equivalence
a000074,symbolic_system,False,0.09241744718582652,0.2622019747803802,0.29753689690795854,0.03226319593868554,0.0010562326644779074,0.0025886460628674977,0.040554018611559495,0.4548139911297358,0.7966956206956896,0.38267582402378114,0.20814625194291086,0.37086318211328484,canon_503,0.7113613913493017,failed
a000075,cellular_automata,False,0.10165065967317896,0.058213129212973336,0.5679659031144915,0.03985596565434402,0.016833296434959177,0.025358466528924983,0.44813217323894394,0.025202507006352404,0.9112222450093921,0.6127516832547516,0.03463552015369038,0.026547989241255343,canon_203,0.7291974089636969,failed
a000076,rewriting_system,False,0.08340252177997216,0.6166037013517952,0.7002276443817048,0.030734532657699876,0.018586587985993552,0.18570712456169453,0.7938004940925044,0.4606056597167014,0.6801074161459313,0.7294866361765451,0.3306863091362985,0.5677736601712949,canon_281,0.548658954930011,failed
a000078,random_interaction,False,0.06980329060634956,0.570777234404365,0.5574559321433203,0.04109690130420107,0.016264424343523376,0.49743945520775545,0.4144060407995971,0.6534303947208204,0.6548279005616033,0.6095334381653423,0.18853893627098067,0.03937933185825471,canon_071,0.6062286246553183,failed
a000080,sat_based,False,0.06453956099398897,0.15060649887908611,0.7551051197077094,0.3852960348188206,0.2605113865273121,0.027084617427714498,0.07239687589281951,0.4833219625596086,0.7770115740445744,0.7798640108228424,0.34794111237415326,0.05942671024714774,canon_321,0.4940608849787082,weak_behavioral_equivalence
a000081,differentiable_system,False,0.09747610986422413,0.23935673702118349,0.2930804034878415,0.44930295956786137,0.012661314913499533,0.29033009060322335,0.04062141126940089,0.29407160646368014,0.7582016077212754,0.37791749931692825,0.2838448907637788,0.025477171543903387,canon_384,0.7699072643230671,failed
a000083,cellular_automata,False,0.11182787842335662,0.2825549936301513,0.6980653199523905,0.02998675907513959,0.018345015968887157,0.05989192938875637,0.2933763634411808,0.2750559917614626,0.8528109036315086,0.7223311761649995,0.2026116593891939,0.30832155179623066,canon_201,0.6524054193484234,failed
