architecture_id,paradigm,e_star_complete,canonical_class,canonical_signature,lab_distance,weakest_lab_correspondence
a000127,rewriting_system,False,canon_144,R[0:1;3:2;4:1;5:1;7:1;8:1]E[0>7;3>4;3>8;4>3;5>3;7>3;7>5],0.3873880858743698,weak_behavioral_equivalence
a000128,probabilistic_system,False,canon_197,R[0:1;4:2]E[0>4;4>0],0.7181888991069532,failed
a000130,cellular_automata,False,canon_203,R[0:1;5:1]E[0>5],0.7296990104332457,failed
a000133,cellular_automata,False,canon_224,R[0:2;1:1;5:3]E[0>5;1>0;5>0;5>1],0.6191581909627648,failed
a000144,rewriting_system,False,canon_372,R[2:1;3:5;8:2]E[2>3;3>2;3>8;8>3],0.7012240103321147,failed
a000147,graph_system,False,canon_522,R[5:2;8:1]E[5>8],0.6796035312796617,failed
a000149,probabilistic_system,False,canon_212,R[0:2;1:1;2:1;3:1;4:1;5:1]E[0>2;0>4;1>0;1>3;2>3;4>1;4>3;4>5;5>1],0.49247169292459525,weak_behavioral_equivalence
a000150,graph_system,False,canon_491,R[4:1;5:1]E[4>5],0.7188481658702907,failed
a000156,cellular_automata,False,canon_213,R[0:2;1:1;2:1;3:1;4:1;5:2]E[0>4;1>5;2>0;2>1;3>0;4>2;4>3;4>5;5>1;5>2;5>3],0.5306921536306503,failed
a000157,hypergraph,False,canon_118,R[0:1;3:1;4:1;6:2]E[0>6;3>6;4>0;4>6;6>3],0.6509542154592125,failed
a000159,rewriting_system,False,canon_527,R[8:2]E[],0.7559761576707074,failed
a000163,sat_based,False,canon_492,R[4:1;5:1]E[5>4],0.7049141583364715,failed
a000166,probabilistic_system,False,canon_260,R[0:2;3:1;4:1;5:1;6:2]E[0>3;0>4;0>5;3>0;3>6;5>6;6>0;6>3;6>4],0.5898726714249789,failed
a000168,symbolic_system,False,canon_498,R[4:1;6:1;8:1]E[4>8;6>4],0.6754471938540146,failed
a000169,differentiable_system,False,canon_345,R[2:1;3:1;4:1;6:1;8:1]E[2>4;2>8;3>8;4>3;4>8;6>2],0.6022112367723953,failed
a000176,sat_based,False,canon_299,R[0:2;4:1]E[0>4;4>0],0.7295409754311791,failed
a000185,graph_system,False,canon_508,R[4:2;5:1]E[4>5],0.7149129460479415,failed
a000186,differentiable_system,False,canon_347,R[2:1;3:1;4:1;6:1]E[2>3;2>4;3>4;6>2],0.7339344515670736,failed
a000190,probabilistic_system,False,canon_364,R[2:1;3:3;4:1;5:2;8:1]E[3>2;3>4;3>5;4>8;5>3;8>2],0.6076253817192846,failed
a000191,probabilistic_system,False,canon_198,R[0:1;4:2]E[0>4],0.7178004456907623,failed
a000192,differentiable_system,False,canon_353,R[2:1;3:2;4:1;5:1;7:2;8:1]E[2>4;2>5;2>8;4>3;4>8;5>7;7>2;7>4;7>5;8>3],0.49027046913569583,weak_behavioral_equivalence
a000193,sat_based,False,canon_418,R[3:1;4:1;5:1]E[4>3;5>4],0.622255803953119,failed
a000194,hypergraph,False,canon_235,R[0:2;2:1;3:1;5:1;6:1;7:1]E[0>3;0>5;2>0;2>3;2>7;3>6;6>0;7>0;7>6],0.5965965018679064,failed
a000200,rewriting_system,False,canon_409,R[3:1;4:1;5:1;7:2;8:2]E[3>7;3>8;4>3;4>8;5>4;5>7;7>3;7>5;7>8],0.3614212111709464,quotient_or_refinement_morphism
a000203,hypergraph,False,canon_427,R[3:1;4:1;6:2;8:1]E[3>8;4>3;4>6;4>8;6>3],0.5707547778390568,failed
a000208,sat_based,False,canon_523,R[5:2;8:2]E[5>8],0.6822773814024393,failed
a000209,cellular_automata,False,canon_332,R[1:1;4:1;5:3]E[1>4;1>5;4>5;5>1],0.6113818317843341,failed
a000210,probabilistic_system,False,canon_203,R[0:1;5:1]E[0>5],0.7298016806576898,failed
a000215,graph_system,False,canon_466,R[3:2;4:1;8:1]E[3>4;3>8;4>8],0.6003634801447372,failed
a000216,hypergraph,False,canon_322,R[1:1;3:1;4:1;5:2]E[1>3;3>5;4>1;4>3;4>5;5>1],0.49900949008588813,weak_behavioral_equivalence
a000218,symbolic_system,False,canon_465,R[3:2;4:1;6:2;8:2]E[3>4;3>8;4>8;6>3;6>8;8>4],0.5965106008402802,failed
a000219,cellular_automata,False,canon_286,R[0:2;3:3]E[0>3;3>0],0.6998154891299351,failed
a000221,hypergraph,False,canon_452,R[3:1;6:2]E[3>6;6>3],0.7493841379464539,failed
a000222,graph_system,False,canon_007,R[0:1;1:1;2:1;4:1;5:1]E[0>2;1>4;1>5;2>4;5>0;5>2],0.6045066292022205,failed
a000223,hypergraph,False,canon_441,R[3:1;5:1;6:2;8:1]E[3>8;5>3;5>6;6>3;6>5;6>8],0.6163425780258827,failed
a000224,sat_based,False,canon_261,R[0:2;3:1;4:1;5:1;8:1]E[0>4;3>0;4>3;4>5;4>8;5>8;8>0;8>3],0.4869868523193739,weak_behavioral_equivalence
a000225,hypergraph,False,canon_033,R[0:1;1:2;3:1;5:1;8:1]E[1>3;1>5;1>8;3>0;5>3;8>1;8>3;8>5],0.45850160653818367,weak_behavioral_equivalence
a000231,probabilistic_system,False,canon_272,R[0:2;3:1]E[0>3],0.711753650228398,failed
a000234,differentiable_system,False,canon_072,R[0:1;2:1;3:4;4:1;6:1]E[0>3;2>3;2>4;2>6;3>2;3>4;3>6;4>3;6>3;6>4],0.6414484782531014,failed
a000241,differentiable_system,False,canon_100,R[0:1;2:2;4:1;6:1]E[0>2;2>4;2>6;6>4],0.7166019808470747,failed
a000253,hypergraph,False,canon_399,R[2:1;6:2]E[2>6],0.7993822904590169,failed
a000257,cellular_automata,False,canon_130,R[0:1;3:1;5:1;8:1]E[0>5;5>8;8>3],0.589439174627707,failed
a000259,sat_based,False,canon_459,R[3:2;4:1;5:1]E[3>4;4>3;5>3],0.6504027373804433,failed
a000260,hypergraph,False,canon_152,R[0:1;3:2;4:1;6:2;8:1]E[0>3;3>6;4>3;4>6;4>8;6>3;6>8;8>0;8>3],0.5354552764839092,failed
a000262,rewriting_system,False,canon_376,R[2:1;4:1;5:1;7:1]E[4>2;5>2;5>7;7>2;7>4],0.6387211794058576,failed
a000263,graph_system,False,canon_287,R[0:2;4:1;5:1;6:1]E[0>4;0>5;5>6;6>0;6>4],0.657545297324742,failed
a000271,random_interaction,False,canon_253,R[0:2;2:1;4:1]E[0>4;2>0;2>4;4>0],0.7380954427683528,failed
a000278,rewriting_system,False,canon_512,R[4:2;6:1]E[4>6],0.7512174200971713,failed
a000280,sat_based,False,canon_421,R[3:1;4:1;5:2]E[4>3;5>4],0.6180165159068275,failed
a000284,graph_system,False,canon_103,R[0:1;2:2;4:2;5:1;8:2]E[0>8;2>4;2>5;2>8;4>0;4>2;4>5;4>8;5>2;5>8;8>2],0.5851125320959902,failed
a000290,probabilistic_system,False,canon_366,R[2:1;3:3;4:1;6:2]E[2>4;3>2;3>6;6>3],0.7231962120028329,failed
a000292,sat_based,False,canon_246,R[0:2;2:1;3:3;5:1]E[0>2;2>3;3>0;5>2;5>3],0.6830914626162333,failed
a000293,symbolic_system,False,canon_124,R[0:1;3:1;4:2;5:1;8:1]E[0>4;3>4;3>5;3>8;4>0;4>8;5>4],0.48057300997353847,weak_behavioral_equivalence
a000295,sat_based,False,canon_183,R[0:1;4:1;5:1]E[0>4;5>0],0.6744730427687603,failed
a000298,graph_system,False,canon_380,R[2:1;4:1;5:1]E[4>2;4>5;5>2],0.7298562758973695,failed
a000299,cellular_automata,False,canon_433,R[3:1;4:2;5:2;8:1]E[3>4;3>5;3>8;4>5;4>8;5>4],0.5272555296312489,failed
a000300,probabilistic_system,False,canon_308,R[0:2]E[],0.7894736557626101,failed
a000305,differentiable_system,False,canon_091,R[0:1;2:1;5:1;7:1]E[0>5;2>7;7>0],0.6374724012130774,failed
a000307,symbolic_system,False,canon_026,R[0:1;1:1;4:1;5:2;8:1]E[0>1;0>5;1>5;4>0;4>1;4>8;5>8],0.44165208680704304,weak_behavioral_equivalence
a000312,differentiable_system,False,canon_397,R[2:1;6:1]E[6>2],0.8174907883504283,failed
a000313,probabilistic_system,False,canon_203,R[0:1;5:1]E[0>5],0.7316262783923441,failed
a000314,sat_based,False,canon_481,R[3:3;4:1;5:2]E[3>5;4>3;4>5;5>3;5>4],0.6249092581063554,failed
a000317,probabilistic_system,False,canon_272,R[0:2;3:1]E[0>3],0.7107897705932977,failed
a000320,random_interaction,False,canon_138,R[0:1;3:1;5:2]E[3>0;3>5;5>0],0.6741614886752546,failed
a000325,graph_system,False,canon_191,R[0:1;4:2;5:1]E[0>4;4>5;5>0],0.6554088165217875,failed
a000327,sat_based,False,canon_326,R[1:1;3:3;4:2;5:2]E[1>4;1>5;3>1;3>4;4>3;4>5;5>3;5>4],0.5334806733163588,failed
a000328,sat_based,False,canon_327,R[1:1;3:3;5:1]E[1>3;3>1;3>5;5>1],0.5882389963642441,failed
a000330,differentiable_system,False,canon_391,R[2:1;4:2]E[2>4;4>2],0.7746934235534488,failed
a000335,symbolic_system,False,canon_126,R[0:1;3:1;4:2;6:1;8:1]E[0>6;3>0;3>4;3>6;4>8;6>4],0.5675193735471689,failed
a000336,rewriting_system,False,canon_349,R[2:1;3:1;5:1;8:2]E[2>3;2>5;3>5;3>8;5>8],0.6276686256114822,failed
a000341,rewriting_system,False,canon_221,R[0:2;1:1;4:3;5:2]E[0>4;1>5;4>1;4>5;5>0],0.5524246303054313,failed
a000347,symbolic_system,False,canon_412,R[3:1;4:1;5:1;8:1]E[4>3;4>8;5>3;8>5],0.5614384762538395,failed
a000349,differentiable_system,False,canon_348,R[2:1;3:1;5:1;6:1;7:1]E[2>3;2>6;5>7;6>3;7>2;7>6],0.6594628555544326,failed
a000350,graph_system,False,canon_417,R[3:1;4:1;5:1]E[4>3;5>3;5>4],0.6172226099276028,failed
a000351,hypergraph,False,canon_324,R[1:1;3:1;5:1]E[3>5;5>1],0.6164546306662234,failed
a000354,sat_based,False,canon_189,R[0:1;4:1]E[4>0],0.7284326592152085,failed
a000356,graph_system,False,canon_104,R[0:1;2:2;4:2;5:1]E[0>2;2>4;2>5;4>2;4>5;5>2],0.6795211386546733,failed
a000360,graph_system,False,canon_079,R[0:1;2:1;4:1;5:1]E[0>4;2>0;2>4;5>0;5>2],0.6808784596683332,failed
a000361,probabilistic_system,False,canon_155,R[0:1;3:2;4:1;6:2]E[3>0;3>6;4>3;4>6;6>0;6>3],0.6313049108793669,failed
a000363,symbolic_system,False,canon_517,R[5:1;6:1;8:1]E[5>6;6>8],0.6892108170663028,failed
a000364,random_interaction,False,canon_211,R[0:1;6:2]E[6>0],0.7583497418837217,failed
a000366,probabilistic_system,False,canon_203,R[0:1;5:1]E[0>5],0.7278749946352041,failed
a000370,differentiable_system,False,canon_384,R[2:1;4:1;6:1]E[2>4;6>2],0.7707602721827411,failed
a000376,rewriting_system,False,canon_105,R[0:1;3:1;4:1;5:1;6:1;7:1;8:1]E[0>3;3>4;3>6;3>8;5>0;6>8;7>3;7>5;7>6;8>4],0.431454581757563,weak_behavioral_equivalence
a000380,hypergraph,False,canon_211,R[0:1;6:2]E[6>0],0.7441295242467765,failed
a000381,symbolic_system,False,canon_477,R[3:3;4:1;5:1;8:1]E[3>4;3>5;3>8;4>8;5>3],0.549925664637774,failed
a000397,differentiable_system,False,canon_500,R[4:1;6:1]E[6>4],0.7672412566314749,failed
a000399,symbolic_system,False,canon_112,R[0:1;3:1;4:1;5:2;8:1]E[0>5;3>4;3>8;4>8;5>3],0.5030972425293194,weak_behavioral_equivalence
a000401,hypergraph,False,canon_107,R[0:1;3:1;4:1;5:1;6:1]E[0>5;3>0;3>4;3>5;5>4;5>6;6>4],0.5938860419932929,failed
a000404,graph_system,False,canon_509,R[4:2;5:2;7:2]E[4>7;5>4;5>7;7>4;7>5],0.5793272774710199,failed
a000409,symbolic_system,False,canon_196,R[0:1;4:2;8:1]E[0>4;4>8],0.6234628940149063,failed
a000412,sat_based,False,canon_457,R[3:2;4:1;5:1;8:1]E[3>4;3>8;4>3;4>8;5>3],0.5311470578377063,failed
a000422,cellular_automata,False,canon_524,R[5:2]E[],0.7775936882085395,failed
a000430,hypergraph,False,canon_136,R[0:1;3:1;5:2;6:2;8:1]E[0>8;3>5;3>6;5>3;5>6;6>0;6>3;6>5],0.5577620640950001,failed
a000434,probabilistic_system,False,canon_208,R[0:1;6:1;8:1]E[0>6;6>8],0.6956013305068293,failed
