point_id,paradigm,phase,e_star_score,e_star_complete,pc1,pc2,memory_capacity,stochasticity,environmental_regularity,compositionality,interaction_locality,constraint_density,graph_connectivity,prediction_horizon,abstraction_budget,communication_bandwidth,feedback_strength,hierarchy_depth,computational_budget,perturbation_sensitivity,propagation,fixed_point_strength,abstraction_growth,hierarchy_emergence,transfer,uncertainty_handling,reconstruction,convergence,stability,compositionality,substitution_response,abstraction_depth,transfer_efficiency,behavioral_entropy,compression_ratio,fixed_point_density,stability,uncertainty_persistence,reuse,hierarchy_growth,canonical_role_count_proxy,response_susceptibility,coordination
p000000,graph_system,-1,0.08856671959558604,False,-5.737316150538072,-4.022012149126924,0.021798818136852822,0.022985844455214417,0.02017722275798452,0.7246418626686361,0.00515691689984232,0.9967429259673036,0.002059956061455877,0.9820707026179296,0.9851554134325202,0.9977842342492063,0.9866075142134165,0.9983072034979413,0.976793903930034,0.10311507438779284,0.3744790543587847,0.815798047362257,0.8353576573472503,0.6490024029077973,0.20523574102305392,0.08856671959558604,0.4287059404486337,0.7853448606777735,0.8249033355134745,0.7246418626686361,0.11554203916458894,3.5960096116311893,0.20523574102305392,0.9160958388200668,0.564430849558953,0.815798047362257,0.8249033355134745,0.06770009417714115,0.19174786141476868,0.6490024029077973,8.328766710560535,0.10311507438779284,0.7853448606777735
p000001,hypergraph,-1,0.049690368067564106,False,7.092501348600689,-5.527386976867679,0.06717557087432019,0.11297715085013635,0.9804605202864795,0.05021242361118139,0.06426063756086242,0.1350605499584508,0.16750724354459048,0.9874642220729294,0.00991587462061435,0.0578912546789251,0.06544024333011308,0.10860945414767426,0.14561553249294737,0.0922683296377446,0.18541852102441528,0.7664293182585356,0.049690368067564106,0.034909012135380724,0.12166301522635664,0.0759180822272566,0.12093352546580904,0.9852581232154275,0.7846111252581383,0.05021242361118139,0.05519923546545069,1.139636048541523,0.12166301522635664,0.7527085049256746,0.04283652419617596,0.7664293182585356,0.7846111252581383,0.0534784100632542,0.16374050624413455,0.034909012135380724,7.021668039405397,0.0922683296377446,0.9852581232154275
p000002,cellular_automata,-1,0.015060625536635452,False,7.567512023015981,-5.104160227290511,0.14463201899961423,0.2535471048005599,0.013696787400753373,0.061958408072559035,0.15216007096874562,0.2404877790301654,0.27150673015151394,0.02114731626443567,0.04410537820327321,0.12138631291883935,0.14701520814221594,0.2097647188387109,0.25551874551812875,0.06668677341860164,0.23934093681429222,0.7568312002407892,0.061130825778992426,0.041532850828346735,0.012802178561105096,0.15000238674725808,0.04265849257188564,0.9245019177072562,0.7809708635404211,0.061958408072559035,0.05031112094972501,1.166131403313387,0.012802178561105096,0.7316864785326342,0.049299053047574544,0.7568312002407892,0.7809708635404211,0.1083991384847064,0.2028496578391783,0.041532850828346735,6.853491828261074,0.06668677341860164,0.9245019177072562
p000003,symbolic_system,-1,0.053231069737337045,False,-0.09857500678820494,3.4769983811846763,0.21898922276226257,0.3643427154097029,0.0020250307813270236,0.48435038195875124,0.2404754101194724,0.33614052158746166,0.45175678584657225,0.991852542536345,0.10565409512341634,0.15559728409373005,0.26888832788407374,0.324878978773579,0.3659430539145987,0.1411190594331618,0.5016181716028149,0.3300345024755122,0.4102936116726291,0.03934989951419593,0.19837003782106646,0.17782791713582569,0.4205997349654085,0.8178027432659369,0.4010963862644928,0.48435038195875124,0.40785131573683386,1.1573995980567837,0.19837003782106646,0.9356375905427129,0.33088194489728157,0.3300345024755122,0.4010963862644928,0.1341994695969419,0.42113757142130376,0.03934989951419593,8.485100724341702,0.1411190594331618,0.8178027432659369
p000004,probabilistic_system,-1,0.0690405842546915,False,-0.236070721079421,4.172037254228209,0.2879640071657834,0.5024166701675846,0.010981977366835451,0.6747553198768116,0.33399888445151527,0.4486619760055483,0.571366854105226,0.01256090291567966,0.1295362692646007,0.2453776071975588,0.31674984983733945,0.4433653131733664,0.5422985935030571,0.07348930968607759,0.39824061628619056,0.3613504125300683,0.6263002413107162,0.07326631857142624,0.05272578389541906,0.20630798238411785,0.6250775346123554,0.707621553749801,0.4407939203940384,0.6747553198768116,0.5910507778777325,1.293065274285705,0.05272578389541906,0.9143622175704682,0.4473573152219401,0.3613504125300683,0.4407939203940384,0.16251158987042705,0.361389231799975,0.07326631857142624,8.314897740563746,0.07348930968607759,0.707621553749801
p000005,differentiable_system,-1,0.08865961221365415,False,1.7605854874664872,1.0135460994555539,0.3528343036326061,0.6285514698146436,0.00577531415597315,0.24492058019124677,0.4094569577785684,0.5544481525097306,0.7458419643770829,0.9822224479906179,0.16099941350620528,0.2834780024707068,0.4276172286670465,0.5125662313475912,0.6571057496604646,0.08172532482143807,0.3943524307030246,0.5533048836941034,0.08865961221365415,0.03495343840327925,0.1267870005326075,0.5993721574518298,0.6528129885772256,0.7556101715408098,0.6038557168029505,0.24492058019124677,0.43328059722486945,1.139813753613117,0.1267870005326075,0.9022122036103939,0.0633282944383244,0.5533048836941034,0.6038557168029505,0.46350464783914114,0.37176196790042737,0.03495343840327925,8.217697628883151,0.08172532482143807,0.7556101715408098
p000006,rewriting_system,-1,0.10137131093285867,False,0.9850891826723203,-4.169189573938285,0.45219578810063066,0.7840483619868813,0.9955324697540624,0.2556305285432514,0.4899468762428434,0.6884199170589543,0.8897203947867016,0.027982776205422215,0.1570478539385141,0.3362888324922933,0.4818477761075958,0.6210412602453772,0.7771025897665769,0.062063369910726425,0.5000797397200822,0.9295466407772375,0.10137131093285867,0.09370729517779308,0.19538563534962156,0.23343192046685124,0.4709887794873847,0.8137820090315186,0.9298126121180741,0.2556305285432514,0.43687330758894216,1.3748291807111723,0.19538563534962156,0.8898690043630174,0.06849412900868829,0.9295466407772375,0.9298126121180741,0.17644311130397128,0.45853893781803684,0.09370729517779308,8.11895203490414,0.062063369910726425,0.8137820090315186
p000007,sat_based,-1,0.06983848735708864,False,1.2192375598173941,-0.20237393019893238,0.5017462319876574,0.8848572426210846,0.9873943743157094,0.3738653635528384,0.5452100989047886,0.8116384124039957,0.02558448840082339,0.016587504033076843,0.2222010193134957,0.38049945401689916,0.5511743254163708,0.7471406860927238,0.8928542037602476,0.05094166031634191,0.18838495820096604,0.5846853546306774,0.4289649498581035,0.18336846649784383,0.008441708934489532,0.25589742380098845,0.5508972673381953,0.7485809772118863,0.6361036845245592,0.3738653635528384,0.13388318494129636,1.7334738659913753,0.008441708934489532,0.8938624423230271,0.3064035356129311,0.5846853546306774,0.6361036845245592,0.198429440728504,0.12737896199246024,0.18336846649784383,8.150899538584216,0.05094166031634191,0.7485809772118863
p000008,random_interaction,-1,0.03688775855090454,False,4.194318702267058,0.8390797889008291,0.5993022655120479,0.008857443475164928,0.9964262368225502,0.21775153131208122,0.621242650811548,0.888227338484373,0.13526907165054114,0.9932830434004749,0.21866012370548774,0.46824669838056987,0.6288591594932013,0.8495350937608127,0.02150855167733101,0.09870681514467919,0.37086273707469625,0.40905915426926714,0.11860501748048113,0.02304510396954912,0.06762815975977227,0.03688775855090454,0.29759565570340546,0.8391068938304747,0.4770980280742626,0.21775153131208122,0.13817049392751057,1.0921804158781965,0.06762815975977227,0.8541122742139867,0.1022457047245527,0.40905915426926714,0.4770980280742626,0.027601926801499126,0.2638160825313614,0.02304510396954912,7.832898193711894,0.09870681514467919,0.8391068938304747
p000009,graph_system,-1,0.0810310088078956,False,0.7520098261723709,-1.6941217674030842,0.6438161611270741,0.14476774384157554,0.9903033875725451,0.4038063652960232,0.730489216337149,0.992595951971798,0.3157587814943672,0.9943495751255446,0.2746986415065829,0.4815735800127528,0.7454364863666914,0.9750221227442258,0.15326932928535775,0.128092128196746,0.22458703383430376,0.6162003464421743,0.44056252093034154,0.22044780546559872,0.02828143002486463,0.0810310088078956,0.2773431342281565,0.8940078033124463,0.6489899655645632,0.4038063652960232,0.16246749986542053,1.881791221862395,0.02828143002486463,0.8916245533639247,0.3797952766640876,0.6162003464421743,0.6489899655645632,0.05929830255253412,0.16228338489306976,0.22044780546559872,8.132996426911397,0.128092128196746,0.8940078033124463
